time,seed,check,result,detail
145000,7,reset_ctrl,PASS,CTRL reset
175000,7,set_baud_default,PASS,BAUD_DIV=4
745000,7,random_rx_bad_stop,PASS,bad stop sets frame_err
845000,7,random_invalid_read,PASS,invalid read pslverr expected
875000,7,random_invalid_write,PASS,invalid write pslverr expected
1455000,7,random_rx_valid,PASS,good RX frame sets rx_valid
1485000,7,random_rx_byte,PASS,RXDATA matches injected byte
2085000,7,random_rx_valid,PASS,good RX frame sets rx_valid
2115000,7,random_rx_byte,PASS,RXDATA matches injected byte
2165000,7,random_irq_enable_toggle,PASS,CTRL legal write
2205000,7,random_irq_enable_toggle,PASS,CTRL legal write
2255000,7,random_status_read,PASS,STATUS legal read
2775000,7,random_tx_byte,PASS,TX decoded byte matches APB write
3275000,7,random_tx_byte,PASS,TX decoded byte matches APB write
3855000,7,random_rx_bad_stop,PASS,bad stop sets frame_err
3965000,7,random_status_read,PASS,STATUS legal read
4035000,7,random_invalid_read,PASS,invalid read pslverr expected
4065000,7,random_invalid_write,PASS,invalid write pslverr expected
