time,scenario,check,result,detail
0,SC_APB_RESET,SCENARIO_START,PASS,start
125000,SC_APB_RESET,CTRL_RESET,PASS,actual=0x00000001 expected=0x00000001
125000,SC_APB_RESET,CTRL_ERR,PASS,actual=0 expected=0
155000,SC_APB_RESET,STATUS_RESET,PASS,actual=0x00000802 expected=0x00000802
185000,SC_APB_RESET,BAUD_RESET,PASS,actual=0x00000004 expected=0x00000004
185000,SC_APB_RESET,UART_TX_IDLE,PASS,actual=1 expected=1
185000,SC_APB_RW,SCENARIO_START,PASS,start
315000,SC_APB_RW,CTRL_WRITE_ERR,PASS,actual=0 expected=0
345000,SC_APB_RW,CTRL_MASK,PASS,actual=0x000001ef expected=0x000001ef
435000,SC_APB_RW,BAUD_ZERO_COERCE,PASS,actual=0x00000001 expected=0x00000001
465000,SC_APB_INVALID,SCENARIO_START,PASS,start
625000,SC_APB_INVALID,INVALID_WRITE_ERR,PASS,actual=1 expected=1
655000,SC_APB_INVALID,INVALID_PRESERVE,PASS,actual=0x00000001 expected=0x00000001
685000,SC_APB_INVALID,INVALID_READ_ERR,PASS,actual=1 expected=1
685000,SC_TX_ONE_BYTE,SCENARIO_START,PASS,start
1295000,SC_TX_ONE_BYTE,TX_DECODE_A5,PASS,actual=0x000000a5 expected=0x000000a5
1295000,SC_TX_BACK_TO_BACK,SCENARIO_START,PASS,start
2385000,SC_TX_BACK_TO_BACK,TX_B2B_FIRST,PASS,actual=0x00000000 expected=0x00000000
2385000,SC_TX_BACK_TO_BACK,TX_B2B_SECOND,PASS,actual=0x000000ff expected=0x000000ff
2385000,SC_TX_IRQ,SCENARIO_START,PASS,start
3045000,SC_TX_IRQ,TX_IRQ_ASSERT,PASS,actual=1 expected=1
3075000,SC_TX_IRQ,TX_IRQ_STATUS,PASS,actual=0x00000001 expected=0x00000001
3125000,SC_TX_IRQ,TX_IRQ_CLEAR,PASS,actual=0 expected=0
3125000,SC_RX_ONE_BYTE,SCENARIO_START,PASS,start
3835000,SC_RX_ONE_BYTE,RX_VALID_SET,PASS,actual=0x00000001 expected=0x00000001
3865000,SC_RX_ONE_BYTE,RX_DATA_3C,PASS,actual=0x0000003c expected=0x0000003c
3895000,SC_RX_ONE_BYTE,RX_VALID_CLEAR,PASS,actual=0x00000000 expected=0x00000000
3895000,SC_RX_BACK_TO_BACK,SCENARIO_START,PASS,start
4605000,SC_RX_BACK_TO_BACK,RX_B2B_FIRST,PASS,actual=0x00000000 expected=0x00000000
5185000,SC_RX_BACK_TO_BACK,RX_B2B_SECOND,PASS,actual=0x000000ff expected=0x000000ff
5185000,SC_RX_FRAMING_ERROR,SCENARIO_START,PASS,start
5925000,SC_RX_FRAMING_ERROR,FRAME_ERR_STATUS,PASS,actual=0x00000008 expected=0x00000008
5925000,SC_RX_FRAMING_ERROR,ERR_IRQ_FRAME,PASS,actual=1 expected=1
5985000,SC_RX_OVERRUN,SCENARIO_START,PASS,start
8895000,SC_RX_OVERRUN,OVERRUN_STATUS,PASS,actual=0x00000010 expected=0x00000010
8925000,SC_RX_OVERRUN,OVERRUN_PRESERVE,PASS,actual=0x00000011 expected=0x00000011
8925000,SC_RX_IRQ,SCENARIO_START,PASS,start
9635000,SC_RX_IRQ,RX_IRQ_ASSERT,PASS,actual=1 expected=1
9685000,SC_RX_IRQ,RX_IRQ_CLEAR,PASS,actual=0 expected=0
9685000,SC_BAUD_VARIANTS,SCENARIO_START,PASS,start
10685000,SC_BAUD_VARIANTS,TX_BAUD8,PASS,actual=0x0000005a expected=0x0000005a
11785000,SC_BAUD_VARIANTS,RX_BAUD8,PASS,actual=0x000000a6 expected=0x000000a6
11785000,SC_RX_MAJORITY_NOISE,SCENARIO_START,PASS,start
16135000,SC_RX_MAJORITY_NOISE,RX_MAJORITY_VALID,PASS,actual=0x00000001 expected=0x00000001
16135000,SC_RX_MAJORITY_NOISE,RX_MAJORITY_NO_ERRORS,PASS,actual=0x00000000 expected=0x00000000
16165000,SC_RX_MAJORITY_NOISE,RX_MAJORITY_DATA_C3,PASS,actual=0x000000c3 expected=0x000000c3
16165000,SC_RX_FALSE_START,SCENARIO_START,PASS,start
17365000,SC_RX_FALSE_START,FALSE_START_NO_STATUS,PASS,actual=0x00000000 expected=0x00000000
21585000,SC_RX_FALSE_START,FALSE_START_RECOVERY_DATA,PASS,actual=0x00000096 expected=0x00000096
21585000,SC_FRAME_CFG,SCENARIO_START,PASS,start
21715000,SC_FRAME_CFG,FRAME_CFG_RESET_8N1,PASS,actual=0x00000003 expected=0x00000003
21745000,SC_FRAME_CFG,FRAME_CFG_WRITE_ERR,PASS,actual=0 expected=0
21775000,SC_FRAME_CFG,FRAME_CFG_READBACK_5O2,PASS,actual=0x0000001c expected=0x0000001c
21775000,SC_TX_DATA_WIDTHS,SCENARIO_START,PASS,start
22355000,SC_TX_DATA_WIDTHS,TX_7BIT_MASK,PASS,actual=0x0000007f expected=0x0000007f
22355000,SC_TX_DATA_WIDTHS,TX_7BIT_STOP_AFTER_DATA,PASS,actual=1 expected=1
22745000,SC_TX_DATA_WIDTHS,TX_5BIT_MASK,PASS,actual=0x0000001f expected=0x0000001f
22745000,SC_TX_DATA_WIDTHS,TX_5BIT_STOP_AFTER_DATA,PASS,actual=1 expected=1
22745000,SC_RX_DATA_WIDTHS,SCENARIO_START,PASS,start
23445000,SC_RX_DATA_WIDTHS,RX_7BIT_MASK,PASS,actual=0x0000007f expected=0x0000007f
23935000,SC_RX_DATA_WIDTHS,RX_5BIT_MASK,PASS,actual=0x0000001f expected=0x0000001f
23935000,SC_TX_PARITY_EVEN_ODD,SCENARIO_START,PASS,start
24605000,SC_TX_PARITY_EVEN_ODD,TX_PARITY_EVEN_DATA,PASS,actual=0x000000a5 expected=0x000000a5
24605000,SC_TX_PARITY_EVEN_ODD,TX_PARITY_EVEN_BIT,PASS,actual=0 expected=0
25145000,SC_TX_PARITY_EVEN_ODD,TX_PARITY_ODD_DATA,PASS,actual=0x000000a5 expected=0x000000a5
25145000,SC_TX_PARITY_EVEN_ODD,TX_PARITY_ODD_BIT,PASS,actual=1 expected=1
25145000,SC_RX_PARITY_GOOD,SCENARIO_START,PASS,start
25925000,SC_RX_PARITY_GOOD,RX_PARITY_EVEN_NOERR,PASS,actual=0x00000000 expected=0x00000000
25955000,SC_RX_PARITY_GOOD,RX_PARITY_EVEN_DATA,PASS,actual=0x000000a5 expected=0x000000a5
26605000,SC_RX_PARITY_GOOD,RX_PARITY_ODD_NOERR,PASS,actual=0x00000000 expected=0x00000000
26635000,SC_RX_PARITY_GOOD,RX_PARITY_ODD_DATA,PASS,actual=0x0000005a expected=0x0000005a
26635000,SC_RX_PARITY_ERROR,SCENARIO_START,PASS,start
27445000,SC_RX_PARITY_ERROR,RX_PARITY_ERR_STATUS,PASS,actual=0x00000100 expected=0x00000100
27445000,SC_RX_PARITY_ERROR,RX_PARITY_ERR_IRQ,PASS,actual=1 expected=1
27475000,SC_RX_PARITY_ERROR,RX_PARITY_ERR_IRQ_STATUS,PASS,actual=0x00000004 expected=0x00000004
27505000,SC_RX_PARITY_ERROR,RX_PARITY_ERR_DATA_PRESERVED,PASS,actual=0x00000055 expected=0x00000055
27505000,SC_TX_STOP2,SCENARIO_START,PASS,start
28175000,SC_TX_STOP2,TX_STOP2_DATA,PASS,actual=0x000000c6 expected=0x000000c6
28175000,SC_TX_STOP2,TX_STOP2_STOP1,PASS,actual=1 expected=1
28175000,SC_TX_STOP2,TX_STOP2_STOP2,PASS,actual=1 expected=1
28175000,SC_RX_STOP2,SCENARIO_START,PASS,start
28955000,SC_RX_STOP2,RX_STOP2_GOOD_DATA,PASS,actual=0x0000006c expected=0x0000006c
29575000,SC_RX_STOP2,RX_STOP2_BAD_FRAME_ERR,PASS,actual=0x00000008 expected=0x00000008
29575000,SC_TX_FIFO_BURST,SCENARIO_START,PASS,start
29735000,SC_TX_FIFO_BURST,TX_FIFO_BURST_WR0,PASS,actual=0 expected=0
29765000,SC_TX_FIFO_BURST,TX_FIFO_BURST_WR1,PASS,actual=0 expected=0
29795000,SC_TX_FIFO_BURST,TX_FIFO_BURST_WR2,PASS,actual=0 expected=0
29825000,SC_TX_FIFO_BURST,TX_FIFO_BURST_WR3,PASS,actual=0 expected=0
36190000,SC_TX_FIFO_BURST,TX_FIFO_BURST_D0,PASS,actual=0x00000010 expected=0x00000010
36190000,SC_TX_FIFO_BURST,TX_FIFO_BURST_D1,PASS,actual=0x00000020 expected=0x00000020
36190000,SC_TX_FIFO_BURST,TX_FIFO_BURST_D2,PASS,actual=0x00000030 expected=0x00000030
36190000,SC_TX_FIFO_BURST,TX_FIFO_BURST_D3,PASS,actual=0x00000040 expected=0x00000040
36190000,SC_RX_FIFO_ORDER,SCENARIO_START,PASS,start
38545000,SC_RX_FIFO_ORDER,RX_FIFO_LEVEL4,PASS,actual=0x00000004 expected=0x00000004
38575000,SC_RX_FIFO_ORDER,RX_FIFO_ORDER0,PASS,actual=0x00000010 expected=0x00000010
38605000,SC_RX_FIFO_ORDER,RX_FIFO_ORDER1,PASS,actual=0x00000020 expected=0x00000020
38635000,SC_RX_FIFO_ORDER,RX_FIFO_ORDER2,PASS,actual=0x00000030 expected=0x00000030
38665000,SC_RX_FIFO_ORDER,RX_FIFO_ORDER3,PASS,actual=0x00000040 expected=0x00000040
38665000,SC_TX_FIFO_FULL,SCENARIO_START,PASS,start
38855000,SC_TX_FIFO_FULL,TX_FIFO_FILL0,PASS,actual=0 expected=0
38885000,SC_TX_FIFO_FULL,TX_FIFO_FILL1,PASS,actual=0 expected=0
38915000,SC_TX_FIFO_FULL,TX_FIFO_FILL2,PASS,actual=0 expected=0
38945000,SC_TX_FIFO_FULL,TX_FIFO_FILL3,PASS,actual=0 expected=0
38975000,SC_TX_FIFO_FULL,TX_FIFO_FULL_LEVEL,PASS,actual=0x00000004 expected=0x00000004
38975000,SC_TX_FIFO_FULL,TX_FIFO_FULL_STATUS,PASS,actual=1 expected=1
39005000,SC_TX_FIFO_FULL,TX_FIFO_FULL_WRITE_ERR,PASS,actual=1 expected=1
39005000,SC_FIFO_CLEAR,SCENARIO_START,PASS,start
43475000,SC_FIFO_CLEAR,FIFO_CLEAR_PRE_LEVELS,PASS,actual=0x00000202 expected=0x00000202
43505000,SC_FIFO_CLEAR,FIFO_CLEAR_WRITE_ERR,PASS,actual=0 expected=0
43555000,SC_FIFO_CLEAR,FIFO_CLEAR_TX_EMPTY,PASS,actual=1 expected=1
43555000,SC_FIFO_CLEAR,FIFO_CLEAR_RX_EMPTY,PASS,actual=1 expected=1
43585000,SC_FIFO_CLEAR,FIFO_CLEAR_RX_VALID_CLEAR,PASS,actual=0x00000000 expected=0x00000000
43585000,SC_FIFO_THRESHOLD_IRQ,SCENARIO_START,PASS,start
43825000,SC_FIFO_THRESHOLD_IRQ,FIFO_THRESH_IRQ_IDLE,PASS,actual=0 expected=0
45955000,SC_FIFO_THRESHOLD_IRQ,FIFO_THRESH_IRQ_BELOW_RX,PASS,actual=0 expected=0
48085000,SC_FIFO_THRESHOLD_IRQ,FIFO_THRESH_IRQ_ASSERT,PASS,actual=1 expected=1
48115000,SC_FIFO_THRESHOLD_IRQ,FIFO_THRESH_STATUS_RX,PASS,actual=0x00001000 expected=0x00001000
48145000,SC_FIFO_THRESHOLD_IRQ,FIFO_THRESH_IRQ_STATUS_RX,PASS,actual=0x00000020 expected=0x00000020
48145000,SC_RX_TIMEOUT_IRQ,SCENARIO_START,PASS,start
49315000,SC_RX_TIMEOUT_IRQ,RX_TIMEOUT_STATUS,PASS,actual=0x00000400 expected=0x00000400
49315000,SC_RX_TIMEOUT_IRQ,RX_TIMEOUT_IRQ_ASSERT,PASS,actual=1 expected=1
49345000,SC_RX_TIMEOUT_IRQ,RX_TIMEOUT_IRQ_STATUS,PASS,actual=0x00000008 expected=0x00000008
49375000,SC_RX_TIMEOUT_IRQ,RX_TIMEOUT_DATA_BEFORE_CLEAR,PASS,actual=0x0000005e expected=0x0000005e
49465000,SC_RX_TIMEOUT_IRQ,RX_TIMEOUT_IRQ_CLEAR,PASS,actual=0 expected=0
