event_id,time,phase,pass,cmd_valid,cmd,load_value,dut_count,ref_count,dut_zero,ref_zero,dut_max,ref_max,dut_accepted_count,ref_accepted_count,dut_status,ref_status
1,16000,RAND_INITIAL_RESET_asserted,1,0,0,0,0,0,1,1,0,0,0,0,0,0
2,26000,RAND_INITIAL_RESET_released,1,0,0,0,0,0,1,1,0,0,0,0,0,0
3,36000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,0,0,0,0
4,46000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,0,0,0,0
5,56000,RAND_TXN,1,1,5,26,0,0,1,1,0,0,1,1,5,5
6,66000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,1,1,5,5
7,76000,RAND_TXN,1,1,3,79,0,0,1,1,0,0,2,2,3,3
8,86000,RAND_TXN,1,1,7,147,0,0,1,1,0,0,3,3,7,7
9,96000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,3,3,7,7
10,106000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,3,3,7,7
11,116000,RAND_TXN,1,1,5,53,0,0,1,1,0,0,4,4,5,5
12,126000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,4,4,5,5
13,136000,RAND_TXN,1,1,4,0,0,0,1,1,0,0,5,5,4,4
14,146000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,5,5,4,4
15,156000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,5,5,4,4
16,166000,RAND_TXN,1,1,3,128,0,0,1,1,0,0,6,6,3,3
17,176000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,6,6,3,3
18,186000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,6,6,3,3
19,196000,RAND_TXN,1,1,6,255,0,0,1,1,0,0,7,7,6,6
20,206000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,7,7,6,6
21,216000,RAND_TXN,1,1,0,44,0,0,1,1,0,0,8,8,0,0
22,226000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,8,8,0,0
23,236000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,8,8,0,0
24,246000,RAND_TXN,1,1,1,0,0,0,1,1,0,0,9,9,1,1
25,256000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,9,9,1,1
26,266000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,9,9,1,1
27,276000,RAND_TXN,1,1,2,50,1,1,0,0,0,0,10,10,2,2
28,286000,RAND_TXN,1,1,5,162,1,1,0,0,0,0,11,11,5,5
29,296000,RAND_TXN,1,1,1,255,255,255,0,0,1,1,12,12,1,1
30,306000,RAND_IDLE,1,0,4,0,255,255,0,0,1,1,12,12,1,1
31,316000,RAND_TXN,1,1,6,0,255,255,0,0,1,1,13,13,6,6
32,326000,RAND_TXN,1,1,4,45,255,255,0,0,1,1,14,14,4,4
33,336000,RAND_IDLE,1,0,4,0,255,255,0,0,1,1,14,14,4,4
34,346000,RAND_IDLE,1,0,4,0,255,255,0,0,1,1,14,14,4,4
35,356000,RAND_TXN,1,1,4,128,255,255,0,0,1,1,15,15,4,4
36,366000,RAND_IDLE,1,0,4,0,255,255,0,0,1,1,15,15,4,4
37,376000,RAND_TXN,1,1,7,0,255,255,0,0,1,1,16,16,7,7
38,386000,RAND_IDLE,1,0,4,0,255,255,0,0,1,1,16,16,7,7
39,396000,RAND_TXN,1,1,6,94,255,255,0,0,1,1,17,17,6,6
40,406000,RAND_TXN,1,1,1,0,0,0,1,1,0,0,18,18,1,1
41,416000,RAND_TXN,1,1,0,128,0,0,1,1,0,0,19,19,0,0
42,426000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,19,19,0,0
43,436000,RAND_TXN,1,1,2,105,1,1,0,0,0,0,20,20,2,2
44,446000,RAND_TXN,1,1,3,248,0,0,1,1,0,0,21,21,3,3
45,456000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,21,21,3,3
46,466000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,21,21,3,3
47,476000,RAND_TXN,1,1,6,255,0,0,1,1,0,0,22,22,6,6
48,486000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,22,22,6,6
49,496000,RAND_TXN,1,1,5,102,0,0,1,1,0,0,23,23,5,5
50,506000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,23,23,5,5
51,516000,RAND_TXN,1,1,3,0,0,0,1,1,0,0,24,24,3,3
52,526000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,24,24,3,3
53,536000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,24,24,3,3
54,546000,RAND_TXN,1,1,2,0,1,1,0,0,0,0,25,25,2,2
55,556000,RAND_IDLE,1,0,4,0,1,1,0,0,0,0,25,25,2,2
56,566000,RAND_TXN,1,1,3,128,0,0,1,1,0,0,26,26,3,3
57,576000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,26,26,3,3
58,586000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,26,26,3,3
59,596000,RAND_TXN,1,1,1,102,102,102,0,0,0,0,27,27,1,1
60,606000,RAND_IDLE,1,0,4,0,102,102,0,0,0,0,27,27,1,1
61,616000,RAND_IDLE,1,0,4,0,102,102,0,0,0,0,27,27,1,1
62,626000,RAND_TXN,1,1,1,0,0,0,1,1,0,0,28,28,1,1
63,636000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,28,28,1,1
64,646000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,28,28,1,1
65,656000,RAND_TXN,1,1,7,202,0,0,1,1,0,0,29,29,7,7
66,666000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,29,29,7,7
67,676000,RAND_TXN,1,1,6,183,0,0,1,1,0,0,30,30,6,6
68,686000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,30,30,6,6
69,696000,RAND_TXN,1,1,7,209,0,0,1,1,0,0,31,31,7,7
70,706000,RAND_IDLE,1,0,4,0,0,0,1,1,0,0,31,31,7,7
71,716000,RAND_TXN,1,1,2,255,1,1,0,0,0,0,32,32,2,2
